0,1,,
[-0.78539816 -0.78539816 -0.78539816],0.078552246,4.500712172,4.457805975
[-0.78539816 -0.78539816  0.        ],0.078125,4.476232774,
[-0.78539816 -0.78539816  0.78539816],0.075866699,4.346841671,
[-0.78539816  0.         -0.78539816],0.077453613,4.437765149,
[-0.78539816  0.          0.        ],0.079467773,4.553168025,
[-0.78539816  0.          0.78539816],0.076293945,4.371321069,
[-0.78539816  0.78539816 -0.78539816],0.075500488,4.32585933,
[-0.78539816  0.78539816  0.        ],0.076599121,4.388806353,
[-0.78539816  0.78539816  0.78539816],0.077392578,4.434268092,
[ 0.         -0.78539816 -0.78539816],0.075927734,4.350338728,
[ 0.         -0.78539816  0.        ],0.075744629,4.339847557,
[ 0.         -0.78539816  0.78539816],0.076660156,4.39230341,
[ 0.          0.         -0.78539816],0.083740234,4.797962005,
[0.         0.         0.78539816],0.077026367,4.413285751,
[ 0.          0.78539816 -0.78539816],0.078918457,4.521694514,
[0.         0.78539816 0.        ],0.080749512,4.626606219,
[0.         0.78539816 0.78539816],0.075439453,4.322362273,
[ 0.78539816 -0.78539816 -0.78539816],0.080444336,4.609120935,
[ 0.78539816 -0.78539816  0.        ],0.078979492,4.52519157,
[ 0.78539816 -0.78539816  0.78539816],0.081115723,4.64758856,
[ 0.78539816  0.         -0.78539816],0.080932617,4.63709739,
[0.78539816 0.         0.        ],0.075439453,4.322362273,
[0.78539816 0.         0.78539816],0.079711914,4.567156253,
[ 0.78539816  0.78539816 -0.78539816],0.07421875,4.252421136,
[0.78539816 0.78539816 0.        ],0.074707031,4.280397591,
[0.78539816 0.78539816 0.78539816],0.077880859,4.462244547,
