0,1,,
[-0.78539816 -0.78539816 -0.78539816],0.085205078,4.88189137,4.735149484
[-0.78539816 -0.78539816  0.        ],0.084594727,4.846920801,
[-0.78539816 -0.78539816  0.78539816],0.085510254,4.899376654,
[-0.78539816  0.         -0.78539816],0.080627441,4.619612106,
[-0.78539816  0.          0.        ],0.077514648,4.441262206,
[-0.78539816  0.          0.78539816],0.090026855,5.158158861,
[-0.78539816  0.78539816 -0.78539816],0.082824707,4.745506152,
[-0.78539816  0.78539816  0.        ],0.08416748,4.822441403,
[-0.78539816  0.78539816  0.78539816],0.082702637,4.738512039,
[ 0.         -0.78539816 -0.78539816],0.084655762,4.850417858,
[ 0.         -0.78539816  0.        ],0.082641602,4.735014982,
[ 0.         -0.78539816  0.78539816],0.078979492,4.52519157,
[ 0.          0.         -0.78539816],0.077819824,4.45874749,
[0.         0.         0.78539816],0.076171875,4.364326955,
[ 0.          0.78539816 -0.78539816],0.084472656,4.839926687,
[0.         0.78539816 0.        ],0.081848145,4.689553243,
[0.         0.78539816 0.78539816],0.086120605,4.934347222,
[ 0.78539816 -0.78539816 -0.78539816],0.078491211,4.497215116,
[ 0.78539816 -0.78539816  0.        ],0.082824707,4.745506152,
[ 0.78539816 -0.78539816  0.78539816],0.085327148,4.888885483,
[ 0.78539816  0.         -0.78539816],0.083374023,4.776979664,
[0.78539816 0.         0.        ],0.08190918,4.693050299,
[0.78539816 0.         0.78539816],0.084411621,4.836429631,
[ 0.78539816  0.78539816 -0.78539816],0.079772949,4.57065331,
[0.78539816 0.78539816 0.        ],0.083862305,4.804956119,
[0.78539816 0.78539816 0.78539816],0.082885742,4.749003209,
